"MODIS_IGBP_Class_Clean","Count","Percentage","Display_Name_Short"
"Evergreen Broadleaf Forest",7522,42.0293904006258,"Evergreen Broadleaf"
"Woody Savannas",4503,25.1606414482874,"Woody Savannas"
"Savannas",2252,12.5831144884618,"Savannas"
"Croplands",990,5.53165334972342,"Croplands"
"Urban and Built-up",818,4.57059842431693,"Urban and"
"Deciduous Broadleaf Forest",757,4.22975917751578,"Deciduous Broadleaf"
"Cropland/Natural Vegetation Mosaic",364,2.03386042353467,"Cropland/Natural Vegetation"
"Mixed Forest",258,1.44158238810974,"Mixed Forest"
"Grasslands",248,1.3857071017489,"Grasslands"
"Permanent Wetlands",185,1.03369279767559,"Permanent Wetlands"
