"MODIS_IGBP_Simplified","NDVI_Biophysical_Zone","Count","Percentage"
"Cropland/Vegetation","IDZ",1105,94.5252352437981
"Cropland/Vegetation","CTZ",59,5.04704875962361
"Cropland/Vegetation","SDZ",5,0.427715996578272
"Forest","IDZ",922,14.3167701863354
"Forest","CTZ",2611,40.5434782608696
"Forest","SDZ",2907,45.139751552795
"Grassland","IDZ",159,82.8125
"Grassland","CTZ",33,17.1875
"Woody Vegetation","IDZ",2007,51.5143737166324
"Woody Vegetation","CTZ",1392,35.7289527720739
"Woody Vegetation","SDZ",497,12.7566735112936
