"Forest_Cover_Category","NDVI_Biophysical_Zone","Count","Percentage"
"No Forest (0%)","IDZ",628,95.1515151515152
"No Forest (0%)","CTZ",25,3.78787878787879
"No Forest (0%)","SDZ",7,1.06060606060606
"Sparse (1-25%)","IDZ",2272,84.2417500926956
"Sparse (1-25%)","CTZ",344,12.7549128661476
"Sparse (1-25%)","SDZ",81,3.00333704115684
"Moderate (26-50%)","IDZ",707,52.8005974607916
"Moderate (26-50%)","CTZ",452,33.7565347274085
"Moderate (26-50%)","SDZ",180,13.4428678117999
"Dense (51-75%)","IDZ",476,27.7389277389277
"Dense (51-75%)","CTZ",783,45.6293706293706
"Dense (51-75%)","SDZ",457,26.6317016317016
"Very Dense (>75%)","IDZ",815,13.4777575657351
"Very Dense (>75%)","CTZ",2535,41.9216140234827
"Very Dense (>75%)","SDZ",2697,44.6006284107822
