"alluvium","n","percent","Source","stratum","stratum_ordered"
1,2,0.0137447598103223,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
1,2,0.0137447598103223,"Copernicus_LC","Cropland/Vegetation","Cropland/Vegetation"
1,2,0.0137447598103223,"Hansen","Forest","Forest"
2,43,0.29551233592193,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
2,43,0.29551233592193,"Copernicus_LC","Cropland/Vegetation","Cropland/Vegetation"
2,43,0.29551233592193,"Hansen","Non-forest","Non-forest"
3,95,0.65287609099031,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
3,95,0.65287609099031,"Copernicus_LC","Cropland/Vegetation","Cropland/Vegetation"
3,95,0.65287609099031,"Hansen","Woody Vegetation","Woody Vegetation"
4,27,0.185554257439351,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
4,27,0.185554257439351,"Copernicus_LC","Forest","Forest"
4,27,0.185554257439351,"Hansen","Forest","Forest"
5,4,0.0274895196206446,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
5,4,0.0274895196206446,"Copernicus_LC","Forest","Forest"
5,4,0.0274895196206446,"Hansen","Non-forest","Non-forest"
6,113,0.776578929283211,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
6,113,0.776578929283211,"Copernicus_LC","Forest","Forest"
6,113,0.776578929283211,"Hansen","Woody Vegetation","Woody Vegetation"
7,3,0.0206171397154835,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
7,3,0.0206171397154835,"Copernicus_LC","Grassland","Grassland"
7,3,0.0206171397154835,"Hansen","Forest","Forest"
8,7,0.0481066593361281,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
8,7,0.0481066593361281,"Copernicus_LC","Grassland","Grassland"
8,7,0.0481066593361281,"Hansen","Non-forest","Non-forest"
9,9,0.0618514191464504,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
9,9,0.0618514191464504,"Copernicus_LC","Grassland","Grassland"
9,9,0.0618514191464504,"Hansen","Woody Vegetation","Woody Vegetation"
10,15,0.103085698577417,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
10,15,0.103085698577417,"Copernicus_LC","Urban/Built-up","Urban/Built-up"
10,15,0.103085698577417,"Hansen","Non-forest","Non-forest"
11,25,0.171809497629029,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
11,25,0.171809497629029,"Copernicus_LC","Urban/Built-up","Urban/Built-up"
11,25,0.171809497629029,"Hansen","Woody Vegetation","Woody Vegetation"
12,1,0.00687237990516116,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
12,1,0.00687237990516116,"Copernicus_LC","Woody Vegetation","Woody Vegetation"
12,1,0.00687237990516116,"Hansen","Forest","Forest"
13,2,0.0137447598103223,"MODIS_IGBP","Cropland/Vegetation","Cropland/Vegetation"
13,2,0.0137447598103223,"Copernicus_LC","Woody Vegetation","Woody Vegetation"
