OBJECTID,Event_Date,Event_Time_approximate,Landslide_Category,Landslide_Trigger,Latitude,Longitude,Country_Name,Country_Code,Administrative_Division,ev_id,Source
5,2016-05-21 0:00:00,unknown,landslide,rain,22.3945746,114.3543952,China,CN,Hong Kong,12938,NASA Reports
9,2017-03-15 17:00:00,17:00,landslide,rain,45.92401,-122.754514,United States,US,Washington,10562,NASA Reports
12,2017-09-18 0:00:00,,landslide,downpour,-45.8478877,170.5399967,New Zealand,NZ,Otago,12674,NASA Reports
15,2016-11-21 21:00:00,21:00,landslide,rain,20.855596,-156.168305,United States,US,Hawaii,10058,NASA Reports
16,2015-09-26 23:00:00,23:00,landslide,downpour,7.8794,98.2916,Thailand,TH,Phuket,8405,NASA Reports
35,2017-07-22 0:00:00,,landslide,rain,-45.837441,170.587817,New Zealand,NZ,Otago,12676,NASA Reports
43,2018-08-08 23:00:00,,landslide,downpour,10.57211238,76.38600784,India,IN,Kerala,14518,NASA Reports
45,2011-03-01 9:00:00,09:00,landslide,rain,45.5118,-122.6866,United States,US,Oregon,3162,NASA Reports
51,2015-07-22 0:00:00,,landslide,downpour,46.800865,10.32252242,Switzerland,CH,Graubünden,11290,NASA Reports
70,2019-02-07 23:00:00,23:00,landslide,rain,-22.99768141,-43.25403571,Brazil,BR,Rio de Janeiro,13277,NASA Reports
72,2024-02-07 0:50:00,18:00,landslide,downpour,7.39167,126.02375,,,,0,NASA Reports
75,2017-02-24 0:00:00,unknown,landslide,rain,45.35591761,-122.5849051,United States,US,Oregon,10584,NASA Reports
76,2024-10-06 16:46:06,16:00,landslide,continuous_rain,14.82025349,-90.15244033,,,,,NASA Reports
77,2024-10-06 16:46:06,16:00,landslide,rain,14.82020681,-90.1524135,,,,,NASA Reports
89,2017-03-16 0:00:00,unknown,landslide,continuous_rain,44.929589,-123.049734,United States,US,Oregon,10539,NASA Reports
120,2017-07-06 19:00:00,19:00,landslide,rain,49.62223265,-119.6632642,Canada,CA,British Columbia,10487,NASA Reports
123,2018-09-20 1:26:39,unknown,landslide,continuous_rain,12.79630729,75.59507472,India,IN,Karnataka,14119,NASA Reports
146,2015-03-16 1:00:00,01:00,landslide,downpour,47.5631,-122.2132,United States,US,Washington,6884,NASA Reports
150,2015-03-27 8:30:00,08:00,landslide,rain,47.3765,-122.3241,United States,US,Washington,6921,NASA Reports
153,2016-08-29 8:00:00,08:00,landslide,rain,30.995694,78.936314,India,IN,Uttaranchal,9912,NASA Reports
171,2017-09-04 12:00:00,12:00,landslide,rain,57.110109,-135.396981,United States,US,Alaska,12948,NASA Reports
176,2016-11-16 0:00:00,,landslide,rain,11.329547,76.801586,India,IN,Tamil Nadu,10726,NASA Reports
177,2016-07-22 0:00:00,,landslide,downpour,3.1082,101.756,Malaysia,MY,Selangor,9160,NASA Reports
181,2010-04-06 0:00:00,,landslide,downpour,-22.9111,-43.0728,Brazil,BR,Rio de Janeiro,1646,NASA Reports
183,2010-04-06 0:00:00,,landslide,downpour,-22.9593,-43.206,Brazil,BR,Rio de Janeiro,1682,NASA Reports
187,2015-06-20 0:00:00,,landslide,continuous_rain,42.1436,24.7502,Bulgaria,BG,Plovdiv,6944,NASA Reports
191,2017-02-21 0:00:00,unknown,landslide,downpour,37.97953546,-122.4994394,United States,US,California,10196,NASA Reports
192,2014-05-01 2:15:00,02:00,landslide,rain,40.8478,-73.6527,United States,US,New York,6002,NASA Reports
193,2017-01-24 0:00:00,unknown,landslide,rain,37.31941622,-122.265628,United States,US,California,10173,NASA Reports
201,2020-11-23 18:51:14,14:00,landslide,rain,7.28972835,-75.39420835,Colombia,CO,Antioquia,19391,NASA Reports
207,2017-06-24 6:00:00,06:00,landslide,continuous_rain,32.08087401,103.6656168,China,CN,Sichuan,10026,NASA Reports
208,2017-05-08 0:00:00,,landslide,rain,38.4919474,-90.43483478,United States,US,Missouri,10341,NASA Reports
220,2010-12-12 0:00:00,,landslide,downpour,47.7174,-122.2791,United States,US,Washington,2832,NASA Reports
222,2015-06-13 0:00:00,,landslide,downpour,7.8784,98.2997,Thailand,TH,Phuket,6981,NASA Reports
229,2010-07-04 0:00:00,,landslide,rain,26.8712,88.3052,India,IN,West Bengal,2034,NASA Reports
230,2000-10-13 10:00:00,10:00,landslide,downpour,46.195899,8.13973097,Switzerland,CH,Wallis,11274,NASA Reports
233,2017-07-11 18:00:00,18:00,landslide,downpour,39.24255184,-106.8813681,United States,US,Colorado,10312,NASA Reports
235,2017-01-05 0:00:00,unknown,landslide,rain,40.27673341,-78.92350659,United States,US,Pennsylvania,10257,NASA Reports
238,2011-03-10 11:00:00,11:00,landslide,downpour,45.331,-122.5437,United States,US,Oregon,3193,NASA Reports
239,2010-04-06 0:00:00,,landslide,downpour,-22.82,-43.1789,Brazil,BR,Rio de Janeiro,1655,NASA Reports
242,2017-04-01 0:00:00,,landslide,rain,40.520892,-80.089097,United States,US,Pennsylvania,12686,NASA Reports
244,2015-12-16 0:00:00,,landslide,downpour,50.7472,-2.7122,United Kingdom,GB,England,9067,NASA Reports
255,2017-06-30 0:00:00,,landslide,downpour,28.21676766,84.00622259,Nepal,NP,Gandaki,9919,NASA Reports
274,2018-05-30 0:00:00,,landslide,continuous_rain,39.3383886,-81.41111074,United States,US,West Virginia,11469,NASA Reports
278,2016-11-01 12:00:00,12:00,landslide,rain,47.290915,-122.409942,United States,US,Washington,10625,NASA Reports
281,2015-06-21 0:00:00,00:00,landslide,continuous_rain,18.7833,73.4703,India,IN,Maharashtra,6973,NASA Reports
286,2014-06-28 9:00:00,09:00,landslide,rain,26.1964,91.7652,India,IN,Assam,6112,NASA Reports
293,2017-04-21 0:00:00,,landslide,continuous_rain,45.38291482,-77.62667936,Canada,CA,Ontario,10695,NASA Reports
308,2019-10-15 13:13:09,,landslide,rain,35.76826103,35.89946671,Syria,SY,Al Ladhiqiyah,13781,NASA Reports
312,2016-07-13 0:00:00,,landslide,rain,-38.6309,143.8872,Australia,AU,Victoria,8965,NASA Reports
322,2016-08-31 22:00:00,22:00,landslide,rain,28.007828,86.191717,Nepal,NP,Janakpur,9926,NASA Reports
331,2017-05-26 17:00:00,17:00,landslide,rain,25.907233,91.881892,India,IN,Meghalaya,9789,NASA Reports
337,2010-04-06 0:00:00,,landslide,downpour,-22.5232,-43.2212,Brazil,BR,Rio de Janeiro,1680,NASA Reports
345,2011-03-20 0:00:00,,landslide,rain,48.0414,-122.5949,United States,US,Washington,7405,NASA Reports
347,2016-08-21 6:00:00,06:00,landslide,downpour,5.456131,100.309601,Malaysia,MY,Pulau Pinang,9889,NASA Reports
356,2017-04-07 0:00:00,,landslide,rain,44.04653643,-124.071433,United States,US,Oregon,10543,NASA Reports
