OBJECTID,Event_Date,Latitude,Longitude,Event_Time_approximate,Landslide_Category,Landslide_Trigger,Country_Name,Country_Code,Administrative_Division,ev_id,Source,Window_1_Start_Days,Window_1_End_Days,MODIS_Date_1,Days_Before_1,NDVI_1,EVI_1,FVC_1,QA_1,LAI_Date_1,LAI_1,FPAR_1,S2_Date_1,S2_NDVI_1,S2_EVI_1,S2_SAVI_1,S2_NDMI_1,S2_NBR_1,S2_NDWI_Gao_1,S2_NDWI_McFeeters_1,S2_PSRI_1,S2_GNDVI_1,S2_RVI_1,Window_2_Start_Days,Window_2_End_Days,MODIS_Date_2,Days_Before_2,NDVI_2,EVI_2,FVC_2,QA_2,LAI_Date_2,LAI_2,FPAR_2,S2_Date_2,S2_NDVI_2,S2_EVI_2,S2_SAVI_2,S2_NDMI_2,S2_NBR_2,S2_NDWI_Gao_2,S2_NDWI_McFeeters_2,S2_PSRI_2,S2_GNDVI_2,S2_RVI_2,Window_3_Start_Days,Window_3_End_Days,MODIS_Date_3,Days_Before_3,NDVI_3,EVI_3,FVC_3,QA_3,LAI_Date_3,LAI_3,FPAR_3,S2_Date_3,S2_NDVI_3,S2_EVI_3,S2_SAVI_3,S2_NDMI_3,S2_NBR_3,S2_NDWI_Gao_3,S2_NDWI_McFeeters_3,S2_PSRI_3,S2_GNDVI_3,S2_RVI_3,Window_4_Start_Days,Window_4_End_Days,MODIS_Date_4,Days_Before_4,NDVI_4,EVI_4,FVC_4,QA_4,LAI_Date_4,LAI_4,FPAR_4,S2_Date_4,S2_NDVI_4,S2_EVI_4,S2_SAVI_4,S2_NDMI_4,S2_NBR_4,S2_NDWI_Gao_4,S2_NDWI_McFeeters_4,S2_PSRI_4,S2_GNDVI_4,S2_RVI_4,Window_5_Start_Days,Window_5_End_Days,MODIS_Date_5,Days_Before_5,NDVI_5,EVI_5,FVC_5,QA_5,LAI_Date_5,LAI_5,FPAR_5,S2_Date_5,S2_NDVI_5,S2_EVI_5,S2_SAVI_5,S2_NDMI_5,S2_NBR_5,S2_NDWI_Gao_5,S2_NDWI_McFeeters_5,S2_PSRI_5,S2_GNDVI_5,S2_RVI_5,NDVI_change_1_to_2,NDVI_change_2_to_3,NDVI_change_3_to_4,NDVI_change_4_to_5,EVI_change_1_to_2,EVI_change_2_to_3,EVI_change_3_to_4,EVI_change_4_to_5,LAI_change_1_to_2,LAI_change_2_to_3,LAI_change_3_to_4,LAI_change_4_to_5,S2_NDVI_change_1_to_2,S2_NDVI_change_2_to_3,S2_NDVI_change_3_to_4,S2_NDVI_change_4_to_5,MODIS_IGBP,MODIS_IGBP_Class,MODIS_LC_Year,Copernicus_LC,Copernicus_LC_Class,Tree_Cover_Fraction,Forest_Type,Hansen_Tree_Cover_2000_Percent,Hansen_Forest_Class,Hansen_Forest_Loss_Year,Hansen_Forest_Gain,Month,Season,Climate_Zone,Continent,MODIS_IGBP_Class_F,Land_Cover_Major,Land_Cover_Simplified,NDVI_change_rate_1_to_2,EVI_change_rate_1_to_2,LAI_change_rate_1_to_2,NDVI_change_pattern
15,2016/11/21,20.855596,-156.168305,21:00,landslide,rain,United States,US,Hawaii,10058,NASA Reports,16,0,2016/11/16,5,0.8658,0.5509,0.644142857,1,2016/11/16,0.6,0.27,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2016/10/31,21,0.9226,0.4247,0.463857143,0,2016/10/31,6.3,0.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2016/10/15,37,0.8965,0.4354,0.479142857,0,2016/10/15,6.6,0.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2016/9/29,53,0.8881,0.6385,0.769285714,0,2016/9/29,6.9,0.99,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2016/9/13,69,0.8752,0.6258,0.751142857,0,2016/9/13,0.2,0.08,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065604066,-0.028289616,-0.009369771,-0.014525391,-0.229079688,0.025194255,0.466467616,-0.019890368,9.5,0.047619048,0.045454545,-0.971014493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,Fall,Tropical,North America,NA,Unknown/Other,Unknown,7.577277155,-41.58280773,1583.333333,Moderate Increase
16,2015/9/26,7.8794,98.2916,23:00,landslide,downpour,Thailand,TH,Phuket,8405,NASA Reports,16,0,2015/9/14,12,NA,NA,NA,3,2015/9/22,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2015/8/29,28,NA,NA,NA,3,2015/9/6,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2015/8/13,44,NA,NA,NA,3,2015/8/21,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2015/7/28,60,0.7385,0.4698,0.528285714,1,2015/8/5,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2015/7/12,76,NA,NA,NA,3,2015/7/20,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Fall,Tropical,Asia,NA,Unknown/Other,Unknown,NA,NA,NA,NA
35,2017/7/22,-45.837441,170.587817,,landslide,rain,New Zealand,NZ,Otago,12676,NASA Reports,16,0,2017/7/12,10,NA,NA,NA,3,2017/7/20,2.2,0.67,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2017/6/26,26,0.7602,0.4357,0.479571429,1,2017/7/4,2.7,0.74,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2017/6/10,42,NA,NA,NA,NA,2017/6/18,2.5,0.72,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2017/5/25,58,0.8286,0.533,0.618571429,0,2017/6/2,4.6,0.88,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2017/5/9,74,0.8186,0.5811,0.687285714,0,2017/5/17,0.3,0.25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.012068549,NA,NA,NA,0.090243902,0.227272727,-0.074074074,0.84,-0.934782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Summer,Temperate,Oceania,NA,Unknown/Other,Unknown,NA,NA,10.33057851,NA
43,2018/8/8,10.57211238,76.38600784,,landslide,downpour,India,IN,Kerala,14518,NASA Reports,16,0,2018/7/28,11,NA,NA,NA,3,2018/8/5,0.2,0.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2018/7/12,27,NA,NA,NA,3,2018/7/20,0.2,0.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2018/6/26,43,NA,NA,NA,3,2018/7/4,1.2,0.39,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2018/6/10,59,NA,NA,NA,3,2018/6/18,0.4,0.16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2018/5/25,75,NA,NA,NA,3,2018/6/2,2.6,0.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,-0.666666667,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Summer,Tropical,Asia,NA,Unknown/Other,Unknown,NA,NA,0,NA
45,2011/3/1,45.5118,-122.6866,9:00,landslide,rain,United States,US,Oregon,3162,NASA Reports,16,0,2011/2/18,11,NA,NA,NA,3,2011/2/26,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2011/2/2,27,NA,NA,NA,3,2011/2/10,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2011/1/17,43,0.1615,0.0617,NA,1,2011/1/25,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2011/1/1,59,NA,NA,NA,3,2011/1/9,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2010/12/19,72,NA,NA,NA,3,2010/12/19,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Spring,Temperate,North America,NA,Unknown/Other,Unknown,NA,NA,NA,NA
51,2015/7/22,46.800865,10.32252242,,landslide,downpour,Switzerland,CH,Graub眉nden,11290,NASA Reports,16,0,2015/7/12,10,0.6316,0.373,0.39,0,2015/7/20,2.3,0.68,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2015/6/26,26,0.7602,0.4406,0.486571429,0,2015/7/4,4.2,0.89,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2015/6/10,42,0.8268,0.5187,0.598142857,1,2015/6/18,5.4,0.93,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2015/5/25,58,0.7066,0.537,0.624285714,0,2015/6/2,5.1,0.91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2015/5/9,74,0.7378,0.5116,0.588,1,2015/5/17,1.4,0.55,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20360988,0.087608524,-0.145379777,0.044155109,0.181233244,0.177258284,0.035280509,-0.047299814,0.826086957,0.285714286,-0.055555556,-0.725490196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Summer,Cold,Europe,NA,Unknown/Other,Unknown,32.23715638,48.58800106,35.9168242,Extreme Increase
70,2019/2/7,-22.99768141,-43.25403571,23:00,landslide,rain,Brazil,BR,Rio de Janeiro,13277,NASA Reports,16,0,2019/2/2,5,NA,NA,NA,NA,2019/2/2,NA,NA,2019/1/29,0.88883785,2,1.333103686,0.449929476,0.740529101,0.449929476,-0.78008658,-0.064688716,0.78008658,16.99173554,32,16,2019/1/17,21,0.4048,0.1532,0.076,1,2019/1/17,NA,NA,2019/1/14,0.916012921,2,1.373860884,0.433949232,0.722464219,0.433949232,-0.782739373,-0.078034682,0.782739373,22.81318681,48,32,2019/1/1,37,0.1765,0.0866,NA,0,2019/1/1,NA,NA,2018/12/30,0.272817955,2,0.409175913,-0.050065141,0.051720585,-0.050065141,-0.231066088,-0.053291536,0.231066088,1.750342936,64,48,2018/12/19,50,0.6536,0.5723,0.674714286,0,2018/12/19,NA,NA,2018/12/20,0.889820902,2,1.334580075,0.423983604,0.712055864,0.423983604,-0.756796628,-0.080134357,0.756796628,17.15226337,80,64,2018/12/3,66,0.4861,0.3243,0.320428571,1,2018/12/3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.563982213,2.703116147,-0.25627295,NA,-0.434725849,5.608545035,-0.433339158,NA,NA,NA,NA,0.03057371,-0.702168006,2.261592156,NA,11,Permanent Wetlands,2019,90,Herbaceous wetland,41.25413534,Evergreen needle leaf,82.8715466,Dense forest,NA,FALSE,2,Winter,Tropical,South America,Permanent Wetlands,Wetlands,Non-Vegetated/Other,NA,NA,NA,NA
72,2024/2/7,7.39167,126.02375,18:00,landslide,downpour,,,,0,NASA Reports,16,0,2024/2/2,5,0.7134,0.4968,0.566857143,0,2024/2/2,6,0.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2024/1/17,21,0.8839,0.4717,0.531,1,2024/1/17,6.9,0.91,2024/1/11,0.802226588,2,1.20294599,0.33527413,0.629366489,0.33527413,-0.649880096,-0.10247093,0.649880096,9.112582781,48,32,2024/1/1,37,NA,NA,NA,3,2024/1/1,3.4,0.81,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2023/12/19,50,0.8557,0.6693,0.813285714,1,2023/12/19,6.7,0.91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2023/12/3,66,0.8749,0.7187,0.883857143,0,2023/12/3,6.7,0.91,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238996355,NA,NA,0.02243777,-0.050523349,NA,NA,0.073808457,0.15,-0.507246377,0.970588235,0,NA,NA,NA,NA,8,Woody Savannas,2022,112,"Closed forest, evergreen broad leaf",68.15007657,Evergreen broad leaf,83.01349659,Dense forest,2009,FALSE,2,Winter,Tropical,Asia,Woody Savannas,Savannas,Grasslands/Shrublands,33.50103105,-10.16975633,2.5,Extreme Increase
75,2017/2/24,45.35591761,-122.5849051,unknown,landslide,rain,United States,US,Oregon,10584,NASA Reports,16,0,2017/2/18,6,NA,NA,NA,3,2017/2/18,0.9,0.55,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2017/2/2,22,0.4399,0.1957,0.136714286,0,2017/2/2,0.1,0.04,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2017/1/17,38,0.5382,0.2045,0.149285714,1,2017/1/17,0.3,0.21,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2017/1/1,54,0.583,0.2629,0.232714286,0,2017/1/1,0.6,0.42,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,64,2016/12/18,68,NA,NA,NA,3,2016/12/18,0.5,0.34,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223459877,0.083240431,NA,NA,0.044966786,0.285574572,NA,-0.888888889,2,1,-0.166666667,NA,NA,NA,NA,8,Woody Savannas,2017,116,"Closed forest, unknown",36.33692308,Evergreen needle leaf,33.9635468,Moderate forest,NA,FALSE,2,Winter,Temperate,North America,Woody Savannas,Savannas,Grasslands/Shrublands,NA,NA,-98.7654321,NA
76,2024/10/6,14.82025349,-90.15244033,16:00,landslide,continuous_rain,,,,NA,NASA Reports,16,0,2024/9/29,7,0.672,0.5286,0.612285714,1,2024/9/29,1.6,0.54,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,2024/9/13,23,0.7886,0.4523,0.503285714,1,2024/9/13,2.2,0.65,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,32,2024/8/28,39,NA,NA,NA,3,2024/8/28,1,0.31,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,48,2024/8/12,55,0.5375,0.3404,0.343428571,1,2024/8/12,0.6,0.25,2024/8/16,0.08850365,-1,0.132747904,0.063872479,0.161211826,0.063872479,-0.075259126,-0.02263202,0.075259126,1.194194194,80,64,2024/7/27,71,NA,NA,NA,3,2024/7/27,1.4,0.47,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173511905,NA,NA,NA,-0.144343549,NA,NA,NA,0.375,-0.545454545,-0.4,1.333333333,NA,NA,NA,NA,12,Croplands,2022,126,"Open forest, unknown",19.99710983,Unknown,3.472685373,Non-forest,NA,FALSE,10,Fall,Tropical,South America,Croplands,Croplands/Mosaic,Croplands,25.82022392,-27.30676296,23.4375,Extreme Increase
