"NDVI_bin_mid","NFR_weighted_mean","NFR_median","NFR_sd","N_months","Total_events"
0.01,0,0,0,3,1548
0.03,0,0,0,3,1548
0.05,0,0,0,3,1548
0.07,0,0,0,3,1548
0.09,0,0,0,3,1548
0.11,0.0271617091040369,0,0.0674318262703238,3,1548
0.13,0.0260827390879468,0,0.0647531686646041,3,1548
0.15,0.0274376027924014,0,0.041213502840934,3,1548
0.17,0.0271309070369235,0,0.0673553568688439,3,1548
0.19,0.149426667842824,0.0802580267510615,0.1606392129101,3,1548
0.21,0.0307105414818168,0,0.0762421793833901,3,1548
0.23,0.0713106129201856,0,0.107114319367169,3,1548
0.25,0.17402041908007,0.182484616498396,0.0959893834707332,3,1548
0.27,0.138784957413248,0.144476975817474,0.137353901993386,3,1548
0.29,0.238540158733813,0.282181177824056,0.135254987250493,3,1548
0.31,0.230953096717256,0.179256564764298,0.108234169223649,3,1548
0.33,0.344971757491431,0.337093143194312,0.178529567224186,3,1548
0.35,0.29313572195799,0.237493522275049,0.148538495524369,3,1548
0.37,0.558281022227893,0.654537744629166,0.178166756303322,3,1548
0.39,0.427832909937476,0.453395811737137,0.278609067879045,3,1548
0.41,0.623233316798735,0.480746119423219,0.36188841672715,3,1548
0.43,0.812188589082564,0.861815504213474,0.50519085617968,3,1548
0.45,0.700941744154137,0.784441184948864,0.426221459447119,3,1548
0.47,0.81912973966257,1.10175934088207,0.470328829411492,3,1548
0.49,1.06136173371232,1.16544567936329,0.649243599324933,3,1548
0.51,1.17873388641818,1.2179917415424,0.341923178677634,3,1548
0.53,1.60911848917106,1.2737497623691,0.912641885821108,3,1548
0.55,1.47241881537252,1.19777903383127,0.837880964151807,3,1548
0.57,1.57197785618929,2.13941329504853,0.885798736786855,3,1548
0.59,1.66595755697893,2.10643459903725,0.91787629464064,3,1548
0.61,2.17221151136384,2.53509601241622,1.22610577739431,3,1548
0.63,1.87357255477886,1.85953223800703,0.863071435308496,3,1548
0.65,1.97564729059658,2.1477413191575,0.694149806569653,3,1548
0.67,2.04882063534284,1.59323289102761,0.763275287797432,3,1548
0.69,1.89725221944204,2.21514411756048,0.49471059746392,3,1548
0.71,2.18686257316348,2.25046593116244,0.229236612696901,3,1548
0.73,1.67120022126006,1.51723737116908,0.282757467060475,3,1548
0.75,1.72740072335205,1.80748990611669,0.310316439329107,3,1548
0.77,1.40784964767684,1.15215252420631,0.539269681868649,3,1548
0.79,1.58357733344162,0.515728814845426,1.84658621780461,3,1548
0.81,1.2317496736762,0.393714567102697,1.40381343134344,3,1548
0.83,1.17066641928208,0.20516708057323,1.63076969507892,3,1548
0.85,2.01575015819481,0.277105100380987,2.62962455450688,3,1548
0.87,2.56168774149093,0.61843526317368,3.46711959557101,3,1548
0.89,3.83937002608675,0.786691044497536,5.08780869639108,3,1548
0.91,1.28746202653983,0.276540089417381,1.7005488525996,3,1548
0.93,0.612749168294999,0.364676039410611,0.632155523313158,3,1548
0.95,0.503069043750013,0.491564058420772,0.412191634990805,3,1548
0.97,0,0,0,3,1548
0.99,0,0,0,3,1548
