"Method","BP1","BP2","R2"
"hist_75bins",0.769859290879298,0.866837839129953,0.958275836228411
"hist_100bins",0.767024921023012,0.868349091182158,0.954252979191436
"hist_125bins",0.777258825494155,0.86632927063558,0.956693554425541
"hist_150bins",0.769234995682875,0.868141174795924,0.956915151186351
"hist_175bins",0.777541430452297,0.866129152841374,0.955602772127681
"hist_200bins",0.779002731511584,0.865740949765449,0.953370377041176
"KDE_SJ_x0.5",0.774137591041258,0.866244481775574,0.95698999345709
"KDE_SJ_x1.0",0.771752170262857,0.866770530427674,0.96243210449457
"KDE_SJ_x2.0",0.764136685879744,0.867326239634018,0.972478444531541
"KDE_nrd0_x0.5",0.769970646747739,0.867031154891492,0.964941023755353
"KDE_nrd0_x1.0",0.758693739137568,0.867473736733993,0.97710345224304
"KDE_nrd0_x2.0",0.722631893060325,0.867279267218132,0.987366174792687
